year,month,rainfall_mm,temp_mean_C,temp_max_C,temp_min_C,humidity_pct,pressure_kPa,wind_speed_ms,month_name,date
2008,11,76.67,26.641666666666666,31.271333333333335,23.006333333333334,81.43900000000001,99.87266666666666,0.8190000000000001,November,2008-11-01
2008,12,36.13,27.330967741935485,32.59838709677419,23.36806451612903,75.54548387096774,99.81064516129032,0.8345161290322581,December,2008-12-01
2009,1,15.450000000000001,27.471290322580646,33.428387096774195,22.948064516129033,66.01870967741935,99.86225806451613,1.0464516129032257,January,2009-01-01
2009,2,53.6,27.363928571428573,32.17714285714286,23.69607142857143,76.80428571428571,99.76321428571428,1.0732142857142857,February,2009-02-01
2009,3,126.03999999999999,27.477096774193548,32.18451612903226,23.981612903225805,78.82806451612903,99.71483870967741,1.1212903225806452,March,2009-03-01
2009,4,161.42,26.277333333333335,29.970666666666666,23.456666666666667,87.61066666666667,99.875,0.995,April,2009-04-01
2009,5,219.76,25.82032258064516,28.94451612903226,23.354193548387098,90.54677419354839,99.90612903225806,0.9432258064516129,May,2009-05-01
2009,6,323.0,25.084333333333333,28.09,22.805,91.422,100.10666666666665,1.067,June,2009-06-01
2009,7,229.36,24.041612903225804,27.621290322580645,21.467741935483872,90.74064516129032,100.19322580645161,1.332258064516129,July,2009-07-01
2009,8,32.52,24.039677419354838,27.89516129032258,21.361612903225808,89.72290322580645,100.11225806451613,1.4093548387096773,August,2009-08-01
2009,9,70.09,24.854,28.98166666666667,21.762666666666668,87.787,100.14133333333332,1.0973333333333335,September,2009-09-01
2009,10,141.71,25.705483870967743,30.42290322580645,22.21967741935484,84.18225806451613,99.96096774193548,1.03,October,2009-10-01
2009,11,102.93,26.209333333333333,30.558666666666667,22.779999999999998,82.74166666666666,99.922,0.807,November,2009-11-01
2009,12,18.97,27.962903225806453,33.5658064516129,23.621290322580645,72.29161290322581,99.89612903225807,0.8374193548387097,December,2009-12-01
2010,1,30.5,28.654516129032256,34.777419354838706,23.98483870967742,69.81870967741936,99.87483870967742,0.9983870967741936,January,2010-01-01
2010,2,41.61,29.379285714285714,35.2625,24.93642857142857,69.84464285714286,99.80035714285714,1.195,February,2010-02-01
2010,3,85.02,28.561290322580643,33.55,24.944193548387098,75.16161290322582,99.86451612903227,1.0761290322580646,March,2010-03-01
2010,4,135.91,28.445333333333334,33.217999999999996,24.866666666666667,77.484,99.796,1.0596666666666665,April,2010-04-01
2010,5,175.27,26.84741935483871,30.373548387096776,24.11967741935484,86.49774193548386,99.91354838709678,1.014516129032258,May,2010-05-01
2010,6,292.57,25.139333333333333,28.154,22.942666666666664,91.786,100.135,1.1233333333333335,June,2010-06-01
2010,7,98.25,24.12516129032258,28.01967741935484,21.24258064516129,89.05677419354839,100.15322580645162,1.334516129032258,July,2010-07-01
2010,8,95.95,24.616774193548387,28.781290322580645,21.65258064516129,88.25709677419354,100.10516129032258,1.3816129032258064,August,2010-08-01
2010,9,149.92,25.0,28.962333333333333,22.174666666666667,87.521,100.00399999999999,1.2056666666666667,September,2010-09-01
2010,10,256.53000000000003,25.173870967741934,28.65225806451613,22.523870967741935,90.30354838709677,99.93838709677419,0.9780645161290322,October,2010-10-01
2010,11,118.63,25.476,29.054666666666666,22.686666666666667,89.26333333333334,99.82966666666667,0.8483333333333333,November,2010-11-01
2010,12,37.63,26.004193548387097,30.33225806451613,22.574193548387097,83.68774193548387,99.76096774193549,0.7996774193548387,December,2010-12-01
2011,1,20.87,26.19161290322581,31.403870967741934,21.883548387096774,73.93677419354839,99.75258064516129,0.844516129032258,January,2011-01-01
2011,2,92.74,27.095714285714283,32.19392857142857,23.291785714285712,76.56464285714286,99.79178571428572,1.0714285714285714,February,2011-02-01
2011,3,137.35,26.416774193548385,30.251290322580644,23.489032258064515,86.43612903225807,99.76225806451613,1.0774193548387097,March,2011-03-01
2011,4,199.21,26.262,29.867666666666665,23.43,87.468,99.77466666666668,1.0066666666666666,April,2011-04-01
2011,5,149.76,25.901290322580646,29.006129032258066,23.460645161290323,90.58741935483872,99.90451612903226,0.9903225806451613,May,2011-05-01
2011,6,213.24,25.134999999999998,28.511333333333333,22.687666666666665,90.56033333333333,100.06266666666667,1.2303333333333335,June,2011-06-01
2011,7,227.31,24.095161290322583,27.769354838709678,21.407096774193548,90.16225806451614,100.10709677419355,1.3196774193548388,July,2011-07-01
2011,8,61.160000000000004,24.123225806451615,28.301612903225806,21.015483870967742,88.41451612903225,100.12161290322581,1.385483870967742,August,2011-08-01
